filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2016_SGHC_221.pdf,[2016] SGHC 221,[2016] SGHC 221,Criminal procedure and sentencing — Sentencing — Ill-treatment of child,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_221/pdf
2016_SGHC_221.pdf,[2016] SGHC 221,[2016] SGHC 221,Criminal procedure and sentencing — Sentencing — Voluntarily causing grievous hurt,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_221/pdf
2016_SGHC_217.pdf,[2016] SGHC 217,[2016] SGHC 217,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_217/pdf
2016_SGHC_213.pdf,[2016] SGHC 213,[2016] SGHC 213,Criminal procedure and sentencing — Sentencing — Rape,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_213/pdf
2016_SGHC_213.pdf,[2016] SGHC 213,[2016] SGHC 213,Criminal procedure and sentencing — Sentencing — Sexual assault by penetration,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_213/pdf
2016_SGHC_209.pdf,[2016] SGHC 209,[2016] SGHC 209,Criminal Procedure and Sentencing — Sentencing — Appeals,Criminal Law,Sentencing,Appeals against sentence,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Appeals,https://www.elitigation.sg/gd/gd/2016_SGHC_209/pdf
2016_SGHC_169.pdf,[2016] SGHC 169,[2016] SGHC 169,Criminal Procedure and Sentencing,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_169/pdf
2016_SGHC_152.pdf,[2016] SGHC 152,[2016] SGHC 152,Criminal Procedure – Sentencing,Criminal Procedure,Sentencing,,,True,,https://www.elitigation.sg/gd/gd/2016_SGHC_152/pdf
2016_SGHC_152.pdf,[2016] SGHC 152,[2016] SGHC 152,Sentencing,Sentencing,,,,False,,https://www.elitigation.sg/gd/gd/2016_SGHC_152/pdf
2016_SGHC_191.pdf,[2016] SGHC 191,[2016] SGHC 191,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_191/pdf
